Series,Name,Code,Note
Season 2: Adventures on the Orange Islands,Tracey Gets Bugged,EP097,
Season 2: Adventures on the Orange Islands,A Way Off Day Off,EP098,
Season 2: Adventures on the Orange Islands,The Mandarin Island Miss Match,EP099,"Banned: Jynx, Skipped in India"
Season 2: Adventures on the Orange Islands,"Wherefore Art Thou, Pokémon?",EP100,
Season 2: Adventures on the Orange Islands,"Get Along, Little Pokémon",EP101,
Season 2: Adventures on the Orange Islands,The Mystery Menace,EP102,
Season 2: Adventures on the Orange Islands,Misty Meets Her Match,EP103,
Season 2: Adventures on the Orange Islands,Bound For Trouble,EP104,
Season 2: Adventures on the Orange Islands,Charizard Chills,EP105,
Pikachu Short,Pikachu's Rescue Adventure,PK04,
Movies,Pokémon the Movie 2000: The Power of One,M2,
Season 2: Adventures on the Orange Islands,The Pokémon Water War,EP106,
Season 2: Adventures on the Orange Islands,Pokémon Food Fight!,EP107,
Season 2: Adventures on the Orange Islands,Pokémon Double Trouble,EP108,
Season 2: Adventures on the Orange Islands,The Wacky Watcher!,EP109,
Season 2: Adventures on the Orange Islands,The Stun Spore Detour,EP110,
Season 2: Adventures on the Orange Islands,"Hello, Pummelo!",EP111,
Season 2: Adventures on the Orange Islands,Enter The Dragonite,EP112,
Season 2: Adventures on the Orange Islands,Viva Las Lapras,EP113,
Season 2: Adventures on the Orange Islands,The Underground Round Up,EP114,
Season 2: Adventures on the Orange Islands,A Tent Situation,EP115,
Season 2: Adventures on the Orange Islands,The Rivalry Revival,EP116,
Season 3: The Johto Journeys,Don't Touch That 'dile,EP117,
Season 3: The Johto Journeys,The Double Trouble Header,EP118,
Season 3: The Johto Journeys,A Sappy Ending,EP119,
Season 3: The Johto Journeys,"Roll On, Pokémon!",EP120,
Season 3: The Johto Journeys,Illusion Confusion!,EP121,
Season 3: The Johto Journeys,Flower Power,EP122,
Season 3: The Johto Journeys,Spinarak Attack,EP123,
Season 3: The Johto Journeys,Snubbull Snobbery,EP124,
Season 3: The Johto Journeys,The Little Big Horn,EP125,
Season 3: The Johto Journeys,The Chikorita Rescue,EP126,
Pikachu Short,Pikachu's Winter Vacation: Winter Games,PK05,
Pikachu Short,Pikachu's Winter Vacation: Stantler's Little Helpers,PK06,
Season 3: The Johto Journeys,Once in a Blue Moon,EP127,
Season 3: The Johto Journeys,The Whistle Stop,EP128,
Short,Slowking's Day,SHORT01,"Japan only, Never Dubbed; Pokémon Chronicles prequel short"
Season 3: The Johto Journeys,Ignorance is Blissey,EP129,
Season 3: The Johto Journeys,A Bout With Sprout,EP130,
Season 3: The Johto Journeys,Fighting Flyer with Fire,EP131,
Season 3: The Johto Journeys,For Crying Out Loud,EP132,
Season 3: The Johto Journeys,Tanks a Lot!,EP133,
Season 3: The Johto Journeys,Charizard's Burning Ambitions,EP134,
Season 3: The Johto Journeys,Grin to Win!,EP135,
Season 3: The Johto Journeys,Chikorita's Big Upset,EP136,
Season 3: The Johto Journeys,Foul Weather Friends,EP137,
Season 3: The Johto Journeys,The Superhero Secret,EP138,
Season 3: The Johto Journeys,Mild 'n Wooly,EP139,
Season 3: The Johto Journeys,Wired for Battle!,EP140,
Season 3: The Johto Journeys,Good 'Quil Hunting,EP141,
Season 3: The Johto Journeys,A Shadow of a Drought,EP142,
Season 3: The Johto Journeys,Going Apricorn!,EP143,
Season 3: The Johto Journeys,Gettin' The Bugs Out,EP144,
Season 3: The Johto Journeys,A Farfetch'd Tale,EP145,
Season 3: The Johto Journeys,Tricks of the Trade,EP146,
Season 3: The Johto Journeys,The Fire-ing Squad!,EP147,
Season 3: The Johto Journeys,No Big Woop!,EP148,
Season 3: The Johto Journeys,Tunnel Vision,EP149,
Season 3: The Johto Journeys,Hour of the Houndour,EP150,
Season 3: The Johto Journeys,The Totodile Duel,EP151,
Season 3: The Johto Journeys,Hot Matches!,EP152,
Season 3: The Johto Journeys,"Love, Totodile Style",EP153,
Season 3: The Johto Journeys,Fowl Play!,EP154,
Season 3: The Johto Journeys,Forest Grumps,EP155,
Pikachu Short,Pikachu & Pichu,PK07,
Movies,Pokémon 3: The Movie - Spell of the Unown: Entei,M3,
Season 3: The Johto Journeys,The Psychic Sidekicks!,EP156,
Season 3: The Johto Journeys,The Fortune Hunters,EP157,
Season 4: Johto League Champions,A Goldenrod Opportunity,EP158,
Season 4: Johto League Champions,A Dairy Tale Ending,EP159,
Season 4: Johto League Champions,Air Time!,EP160,
Season 4: Johto League Champions,The Bug Stops Here,EP161,
Season 4: Johto League Champions,Type Casting,EP162,
Season 4: Johto League Champions,Fossil Fools,EP163,
Season 4: Johto League Champions,Carrying On!,EP164,
Season 4: Johto League Champions,Hassle in the Castle,EP165,
Season 4: Johto League Champions,Two Hits and a Miss,EP166,
Season 4: Johto League Champions,A Hot Water Battle,EP167,
